iteration,pos_0,pos_1,value,best_pos_0,best_pos_1,best_value,method
1,4.9843,-3.5597,3477.0545,3.3378,2.5202,52.6532,Sequential
2,2.9188,-2.1606,1358.3965,-1.7928,-2.8513,22.7435,Sequential
3,1.3665,-0.8663,442.0019,0.0747,0.0316,1.2826,Sequential
4,0.2863,-0.0299,205.7394,0.0747,0.0316,1.2826,Sequential
5,-0.2029,0.1064,138.9256,0.0747,0.0316,1.2826,Sequential
6,-0.2166,0.2289,80.9146,0.0437,0.0183,0.4422,Sequential
7,0.0325,0.1437,44.9235,0.0437,0.0183,0.4422,Sequential
8,0.1307,0.0225,32.9263,0.025,0.0356,0.374,Sequential
9,0.1544,-0.1077,26.2446,0.025,0.0356,0.374,Sequential
10,0.1448,-0.1358,24.2066,0.025,0.0356,0.374,Sequential
11,0.1355,-0.0969,22.4194,0.0141,-0.02,0.1188,Sequential
12,0.1135,-0.0233,20.3058,0.0141,-0.02,0.1188,Sequential
13,0.0969,-0.0023,18.4709,0.0141,-0.02,0.1188,Sequential
14,0.0933,-0.0046,18.0616,0.0081,0.0,0.0131,Sequential
1,3.7162,3.8619,3607.8468,4.8075,23.1006,14.51,Threading
2,5.2194,12.2628,1595.8178,5.2641,23.537,14.51,Threading
3,5.9046,19.3492,865.3313,5.2641,23.537,14.51,Threading
4,5.8936,22.7941,755.1146,5.2641,23.537,14.51,Threading
5,5.2261,22.7037,668.5427,5.2641,23.537,14.51,Threading
6,4.7197,20.9337,551.1845,5.2641,23.537,14.51,Threading
7,4.1909,19.1715,471.3844,5.2641,23.537,14.51,Threading
8,4.1245,18.2572,432.6231,5.2641,23.537,14.51,Threading
9,4.3347,18.2034,426.9687,5.2641,23.537,14.51,Threading
10,4.3723,18.5709,433.6665,5.2641,23.537,14.51,Threading
11,4.4983,19.0699,441.1712,5.2641,23.537,14.51,Threading
12,4.5895,19.3433,447.867,5.2641,23.537,14.51,Threading
13,4.5583,19.484,449.9731,5.2641,23.537,14.51,Threading
14,4.4476,19.3992,447.7358,5.2641,23.537,14.51,Threading
15,4.2387,19.2864,442.3229,5.2641,23.537,14.51,Threading
16,4.1829,19.256,439.7252,5.2641,23.537,14.51,Threading
17,4.2245,19.124,437.5227,5.2641,23.537,14.51,Threading
18,4.3449,19.2431,444.2813,5.2641,23.537,14.51,Threading
19,4.4284,19.4486,449.4095,5.2641,23.537,14.51,Threading
20,4.449,19.4811,450.7298,5.2641,23.537,14.51,Threading
21,4.3904,19.4942,448.8485,5.2641,23.537,14.51,Threading
22,4.36,19.5388,449.7605,5.2641,23.537,14.51,Threading
23,4.2647,19.4344,446.7153,5.2641,23.537,14.51,Threading
24,4.2088,19.2276,440.4845,5.2641,23.537,14.51,Threading
25,4.3037,19.3118,441.7759,5.2641,23.537,14.51,Threading
26,4.3372,19.3428,442.7154,5.2641,23.537,14.51,Threading
27,4.4295,19.4524,448.941,5.2641,23.537,14.51,Threading
28,4.4753,19.4522,447.7501,5.2641,23.537,14.51,Threading
29,4.3408,19.3553,443.6712,5.2641,23.537,14.51,Threading
30,4.2041,19.3339,444.4926,5.2641,23.537,14.51,Threading
31,4.246,19.5457,448.4087,5.2641,23.537,14.51,Threading
32,4.296,19.7611,455.2677,5.2641,23.537,14.51,Threading
33,4.3926,19.7867,456.2123,5.2641,23.537,14.51,Threading
34,4.5279,19.712,456.2841,5.2641,23.537,14.51,Threading
35,4.5043,19.509,450.4673,5.2641,23.537,14.51,Threading
36,4.3391,19.2409,441.5157,5.2641,23.537,14.51,Threading
37,3.25,14.0,266.1219,1.0827,1.9273,7.2334,Threading
38,2.1069,7.9621,123.3926,0.8968,0.9664,3.9901,Threading
39,0.6953,3.1562,55.0878,-1.0709,1.0606,3.9631,Threading
40,-0.3922,0.3463,33.7859,-1.0709,1.0606,3.9631,Threading
41,-0.9902,-1.1595,26.9551,-0.9915,-0.9987,1.9951,Threading
42,-1.15,-1.6304,25.92,-0.9915,-0.9987,1.9951,Threading
43,-0.8412,-1.4438,24.4575,-0.0259,-0.9966,1.1281,Threading
44,-0.4501,-1.0399,23.1069,-0.0259,-0.9966,1.1281,Threading
45,-0.1877,-0.7611,21.1424,-0.0259,-0.9966,1.1281,Threading
46,-0.0778,-0.3868,20.4422,-0.0139,0.0691,0.9713,Threading
47,-0.0872,-0.1582,19.0275,-0.0046,0.0312,0.1961,Threading
48,-0.1338,-0.0696,18.3339,-0.0046,0.0312,0.1961,Threading
49,-0.1587,-0.0768,17.4981,-0.0099,0.0231,0.1249,Threading
